id,碑名,别名,朝代,年代,地点,撰文人,书写人,篆刻人,简介是否存在,正文长度,碑阳是否存在,碑阴是否存在,图片数量,PDF页码,needsReview,reviewIssues
1,大唐宗圣观记,,唐,唐武德九年,,,,,是,4372,否,否,1,2,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
2,大唐尹尊师碑,,唐,唐开元五年,,,,,是,3917,否,否,1,3,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
3,老君显见碑,,唐,唐开元二十九年,,,,,是,2583,否,否,1,4,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
4,玄元灵应颂,,唐,唐天宝元年,,,,,是,2867,否,否,1,5,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
5,楼观改名顺天兴国观牒刻石,,宋,宋皇祐元年,,,,,是,303,否,否,1,6,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
6,苏轼楼观题记,,宋,宋治平元年,,,,,是,350,否,否,1,7,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
7,薛绍彭书薛周留题楼观诗刻石,,,,,,,,是,369,否,否,1,8,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
8,薛绍彭书大中题楼观南楼诗刻石,,,,,,,,是,197,否,否,1,9,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
9,薛绍彭书王工部题楼观诗刻石,,,,,,,,是,495,否,否,1,10,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
10,奉圣旨给地公据碑,,,,,,,,是,828,否,否,1,11,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
11,大元重修古楼观宗圣宫记,,元,,,,,,是,5931,否,否,1,12,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
12,终南山古楼观宗圣宫之图,,元,元世祖至元二年,,,,,是,631,否,否,1,13,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
13,同尘洪妙真人李尊师道行碑,,,,,,,,是,1673,否,否,1,14,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
14,终南山楼观宗圣宫提点成公先生墓志,,,,,,,,是,991,否,否,1,15,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
15,终南山宗圣宫主石公道行记,,元,元世祖至元十九年,,,,,是,1034,否,否,1,16,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
16,篆书道德经碑,,元,元世祖至元二十八年,,,,,是,1007,否,否,1,17,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
17,正书道德经碑,,,,,,,,是,7312,否,否,1,18,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
18,楼观先师传碑,,元,元世祖至元三十年,,,,,是,6777,否,否,1,19,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
19,古楼观系牛柏记,,元,元元贞元年,,,,,是,1047,否,否,1,20,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
20,大元尹宗师碑,,元,元元贞元年,,,,,是,2451,否,否,1,21,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
21,建原始台玉清宫记,,元,元大德二年,,,,,是,805,否,否,1,22,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
22,重建会灵观记,,元,元大德四年,,,,,是,1821,否,否,1,23,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
23,大元重建文始殿记,,元,元大德七年,,,,,是,2160,否,否,1,24,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
24,经台住持朱象先墓碑,,元,元至大年,,,,,是,283,否,否,1,25,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
25,楼观大宗圣宫重修说经台记,,元,元皇庆元年,,,,,是,2874,否,否,1,26,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
26,宗圣宫设五品级提点所公文碑,,元,元至正元年,,,,,是,624,否,否,1,27,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
27,楼观历受皇恩记碑,,,,,,,,是,469,否,否,1,28,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
28,二仙图刻石,,,,,,,,是,253,否,否,1,29,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
29,溥光书文始之殿刻石,,,,,,,,是,381,否,否,1,30,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
30,王正臣楼观题咏刻石,,,,,,,,是,438,否,否,1,31,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
31,吴琚书天下第一福地刻石,,,,,,,,是,440,否,否,1,32,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
32,米芾书第一山刻石,,,,,,,,是,172,否,否,1,33,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
33,赵孟頫书上善池刻石,,,,,,,,是,225,否,否,1,34,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
34,太上老君抱一说,,,,,,,,是,342,否,否,1,35,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
35,道教养生诀刻石,,,,,,,,是,403,否,否,1,36,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
36,大明重建会灵观记,,明,明弘治九年,,,,,是,962,否,否,1,37,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
37,重修洪妙庵记,,,,,,,,是,890,否,否,1,38,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
38,永寿王楼观题咏刻石,,,,,,,,是,315,否,否,1,39,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
39,重修古楼观宗圣宫下院延生观记,,,,,,,,是,705,否,否,1,40,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
40,浒西山人楼观题咏刻石,,明,明嘉靖二年,,,,,是,308,否,否,1,41,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
41,陈棐访说经台题咏刻石,,,,,,,,是,298,否,否,1,42,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
42,重建五祖七真殿宇碑记,,明,明嘉靖三十二年,,,,,是,1025,否,否,1,43,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
43,程轨题咏刻石,,,,,,,,是,394,否,否,1,44,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
44,宗圣宫铜章石兽铭,,明,明隆庆五年,,,,,是,1433,否,否,1,45,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
45,义记感格记,,明,明隆庆六年,,,,,是,1452,否,否,1,46,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
46,重建三清殿记,,明,明万历二年,,,,,是,1372,否,否,1,47,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
47,重建吾老洞殿宇记,,明,明万历四年,,,,,是,797,否,否,1,48,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
48,鹤洲楼观题咏刻石,,,,,,,,是,301,否,否,1,49,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
49,佚名楼观题咏刻石,,,,,,,,是,553,否,否,1,50,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
50,说经台创建救苦殿记,,明,明万历三十四年,,,,,是,690,否,否,1,51,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
51,秦聚奎楼观题咏刻石,,,,,,,,是,570,否,否,1,52,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
52,补修纯阳洞碑记,,明,明万历四十二年,,,,,是,1407,否,否,1,53,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
53,显灵峰玄帝庙碑,,明,明万历四十二年,,,,,是,1432,否,否,1,54,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
54,万圣洞石匾,,,,,,,,是,173,否,否,1,55,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
55,刘士龙终南山游记自序,,明,明天启三年,,,,,是,636,否,否,1,56,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
56,司理史公命建碑亭小记,,明,明天启四年,,,,,是,745,否,否,1,57,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
57,仰天池残碑,,明,明天启七年,,,,,是,329,否,否,1,58,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
58,胡松游楼观题咏刻石,,,,,,,,是,254,否,否,1,59,是,标题含'*'前缀，可能为刻石类，需人工核对分类；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
59,吾老洞石匾,,清,清康熙二十年,,,,,是,88,否,否,1,60,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
60,云霞逸人传,,,,,,,,是,500,否,否,1,61,是,碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
61,监院梁一亮任职公文刻石,,清,清雍正八年,,,,,是,438,否,否,1,62,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
62,重修说经台记,,清,清雍正十三年,,,,,是,1467,否,否,1,63,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
63,说经台重修记,,清,清乾隆四年,,,,,是,2983,否,否,1,64,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
64,吾老洞四址山图刻石,,清,清乾隆十一年,,,,,是,183,否,否,1,65,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
65,说经台梁公道行碑铭,,清,清乾隆十一年,,,,,是,1234,否,否,1,66,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
66,众善舍斋文序,,清,清乾隆十三年,,,,,是,625,否,否,1,67,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
67,周至知县任张来泰住持吾老洞告示刻石,,清,清乾隆三十六年,,,,,是,492,否,否,1,68,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
68,重建说经台记,,清,清乾隆四十年,,,,,是,805,否,否,1,69,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
69,老子墓残碑,,清,清乾隆四十一年,,,,,是,213,否,否,1,70,是,标题含'*'前缀，可能为刻石类，需人工核对分类；朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
70,重修楼观碑记,,清,清乾隆五十八年,,,,,是,641,否,否,1,71,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
71,重修楼观台宗圣宫碑记,,清,清乾隆五十九年,,,,,是,589,否,否,1,72,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
72,重修楼观台记,,清,清嘉庆十五年,,,,,是,2130,否,否,1,73,是,朝代据年代文本开头推断，需人工核对；碑刻图片与PDF页码对应关系为按书页顺序的假设，需人工核对
